Gender,Age,Marital_Status,Country_Birth,Race,Alcohol Average/Day,Ever Used Hard Drugs
F,30,Married,Other,Other Hispanic,3,No
F,30,Married,US,Non-Hispanic White,3,No
F,30,Never Married,Other,Non-Hispanic Black,2,No
F,30,Never Married,Other,Other,4,No
F,30,Never Married,US,Non-Hispanic Black,2,No
F,30,Never Married,US,Non-Hispanic Black,4,No
F,30,Never Married,US,Non-Hispanic White,2,No
F,31,Living W/ Partner,US,Non-Hispanic White,4,Yes
F,31,Living W/ Partner,US,Other Hispanic,5,No
F,31,Married,Other,Mexican American,3,No
F,31,Married,Other,Other Hispanic,1,No
F,31,Married,US,Mexican American,1,No
F,31,Married,US,Other Hispanic,2,No
F,31,Never Married,US,Non-Hispanic Black,1,No
F,32,Living W/ Partner,US,Non-Hispanic Black,1,No
F,32,Married,US,Mexican American,8,No
F,32,Married,US,Non-Hispanic Black,1,No
F,32,Married,US,Non-Hispanic White,2,No
F,32,Never Married,US,Non-Hispanic Black,2,Yes
F,32,Never Married,US,Non-Hispanic White,2,No
F,32,Never Married,US,Other Hispanic,1,No
M,30,Living W/ Partner,Other,Other Hispanic,3,Yes
M,30,Living W/ Partner,US,Non-Hispanic White,5,Yes
M,30,Married,Other,Mexican American,1,No
M,30,Married,Other,Mexican American,12,Yes
M,30,Married,Other,Non-Hispanic Asian,1,No
M,30,Married,Other,Non-Hispanic Asian,2,No
M,30,Married,US,Non-Hispanic White,3,No
M,30,Never Married,US,Mexican American,3,No
M,30,Never Married,US,Non-Hispanic Black,3,No
M,30,Never Married,US,Non-Hispanic White,2,No
M,30,Never Married,US,Non-Hispanic White,7,Yes
M,31,Living W/ Partner,Other,Other Hispanic,8,Yes
M,31,Living W/ Partner,US,Non-Hispanic White,1,Yes
M,31,Married,Other,Mexican American,4,No
M,31,Married,Other,Mexican American,10,No
M,31,Married,Other,Non-Hispanic Asian,1,No
M,31,Married,Other,Non-Hispanic Asian,1,No
M,31,Married,Other,Non-Hispanic Asian,2,No
M,31,Married,Other,Non-Hispanic Asian,5,Yes
M,31,Married,Other,Other Hispanic,2,No
M,31,Married,US,Non-Hispanic White,3,No
M,31,Married,US,Other Hispanic,2,Yes
M,31,Never Married,Other,Other Hispanic,1,No
M,31,Never Married,US,Non-Hispanic Asian,5,No
M,31,Never Married,US,Non-Hispanic White,3,No
M,31,Never Married,US,Non-Hispanic White,6,No
M,31,Separated,Other,Mexican American,8,Yes
M,32,Married,US,Non-Hispanic White,1,No
M,32,Married,US,Non-Hispanic White,2,Yes
M,32,Married,US,Non-Hispanic White,3,Yes
M,32,Married,US,Other Hispanic,3,Yes
M,32,Never Married,US,Non-Hispanic Black,6,Yes
M,32,Never Married,US,Non-Hispanic White,1,No
M,32,Separated,US,Other,6,Yes
